tgl,nama_peserta,administrasi,teknis,harga,kualifikasi,akhir,target
5/7/2021,ORA ET LABORA - 72.376.291.0-952.000,100,90.89,90.9,79.36,90.892,1
5/7/2021,CV. DELTA KARYA - 71.954.084.1-952.000,100,88.81,84.7,80.84,87.988,1
5/7/2021,CV. TUJUHDUA SEJAHTERA MANDIRI - 03.010.111.7-952.000,100,92.03,94.68,92,92.56,1
5/7/2021,CV. KERUB KARYA - 41.992.294.3-952.000,100,61.8,0,0,49.44,0
5/7/2021,cv.baratajayamandiri - 76.636.453.3-953.000,100,87.3,90.9,85.36,88.02,1
5/7/2021,CV.BEBAS MANDIRI - 74.641.965.4-953.000,100,72.95,53.5,0,69.06,0
5/7/2021,CV.BALIM BINO - 70.279.544.4-952.000,100,77.4,31.4,0,68.2,0
5/7/2021,CV. KRISNA SEJAHTERA - 72.848.949.3-952.000,100,96.35,78,87,92.68,1
5/7/2021,CV. WATANI - 71.885.184.3-952.000,100,93.4,80.4,78,90.8,1
5/7/2021,CV. SOLUSI ARYA PRIMA - 01.960.937.9-511.000,100,64,0,0,51.2,0
5/7/2021,PT. DWI AGUNG MAKMUR - 94.315.433.6-034.000,100,81.3,81.4,82.5,81.32,1
5/7/2021,PT TRI KARYA CEMERLANG CORP - 92.790.781.6-412.000,100,50.3,0,0,40.24,0
5/7/2021,PT. PENTA JAYA INDONESIA - 92.188.822.8-085.000,100,78.9,91.4,87.4,81.4,1
5/7/2021,CV. Media Sarana Cipta Buana - 21.079.807.0-411.000,100,61.3,75.3,66.4,64.1,0
10/8/2021,PERMATA MULTINDO UTAMA - 42.235.381.3-429.000,100,80.6,81,82.4,80.68,1
10/8/2021,CV. KHARISMANTARA - 01.859.272.5-201.000,100,71.8,74,53.5,72.24,0
10/8/2021,CV. Mumtaz - 21.050.607.7-521.000,100,88.5,87.5,79.7,88.3,1
10/8/2021,PT.SEMESTA MUDA BERKARYA - 95.026.345.9-411.000,100,81.4,81,44.3,81.32,0
10/8/2021,PT. Galaksi Presisi Persada - 76.144.268.0-416.000,100,78,82.6,70.3,78.92,1
10/8/2021,CV. Aryha Putra Raditya - 41.717.271.5-405.000,100,87.3,83.2,91.2,86.48,1
10/8/2021,HARTA WIWAHA - 41.133.770.2-443.000,100,88.2,78.2,71.1,86.2,1
10/8/2021,CV. ADIL JAYA - 90.888.504.9-504.000,100,93.1,88.4,98.4,92.16,1
10/8/2021,PT. BUHA RIAMA - 01.401.683.6-008.000,100,65,0,0,52,0
10/8/2021,PT.TRISUKSES PERMATA - 75.555.231.2-043.000,100,72.1,87.3,76.2,75.14,1
10/8/2021,SATYA MOTEKAR - 93.285.214.8-443.000,100,78.1,89.2,71.3,80.32,1
10/8/2021,PT. Parolis Bangun Indonesia - 86.029.497.4-015.000,100,84.2,82.3,71.2,83.82,1
10/8/2021,PT. GITA MENATA INDAH - 71.713.274.0-008.000,100,71.2,82.3,65.6,73.42,0
10/8/2021,CV MADANI UTAMA - 31.575.608.0-443.000,100,87.2,89.2,33.4,87.6,0
10/8/2021,CV. KARTIKA SARI - 01.497.686.4-615.000,100,84.3,77.4,76.5,82.92,1
10/8/2021,PILAR PRATAMA. CV - 94.316.406.1-401.000,100,91.3,86.3,66.7,90.3,0
10/8/2021,PT. HANNA INTEGRASI SOLUSI - 73.254.451.5-508.000,100,41,0,0,32.8,0
10/8/2021,PT. GEMILANG INDORAYA ABADI - 03.063.522.1-005.000,100,82.3,82.4,72.3,82.32,1
10/8/2021,CV. DELTAMAS MAKMUR PERKASA - 71.256.214.9-421.000,100,83.3,71.3,82.3,80.9,1
10/8/2021,CV Pratama Abadi Sejahtera - 03.223.724.0-643.000,100,86.2,88.2,79.1,86.6,1
21/10/2021,CV. PROCOMP - 21.013.131.4-432.000,100,55,0,0,44,0
21/10/2021,PT. Prima Dua Jaya - 02.286.337.7-077.000,100,90.3,83.4,76.5,88.92,1
21/10/2021,CV. DIAN INTI PRATAMA - 90.252.873.6-216.000,100,88.2,78.2,71.1,86.2,1
21/10/2021,PT. BERKAH SEBUTIR BENIH - 92.213.571.0-005.000,100,100,88.3,87.3,97.66,1
21/10/2021,SENTRA SOLUSINDO - 85.134.510.8-508.000,100,93.2,83.1,78.6,91.18,1
21/10/2021,PT. Solindo Duta Praga - 82.448.507.2-015.000,100,88.2,78.2,71.1,86.2,1
21/10/2021,CV MENTARI BUNGA LAISA - 02.723.262.8-002.000,100,54,0,0,43.2,0
21/10/2021,AVILLA JAYA TEKNIK - 91.080.465.7-036.000,100,34,78.2,71.1,42.84,1
21/10/2021,PT. AMTEK SOLUSINDO - 66.209.473.9-044.000,100,88.2,88.3,71.1,88.22,1
21/10/2021,PT. Artha Arjuna Mandiri - 41.486.555.0-405.000,100,54,71.1,71.1,57.42,1
21/10/2021,CV.INOVASI GLOBAL - 83.551.215.3-085.000,100,81.2,71.2,71.1,79.2,1
21/10/2021,CV. Harpa Medusa - 66.077.672.5-442.000,100,43,0,0,34.4,0
21/10/2021,CV. Global Teknomedika - 93.772.629.7-211.000,100,86.4,88.3,74.7,86.78,1
21/10/2021,PT Sentral Solusi Teknologi - 93.190.777.8-019.000,100,82.3,82.4,72.3,82.32,1
